2018-11-28 23:11:26,753;0.041270316;0.037250433
2018-11-28 23:11:42,807;0.042249918;0.035592955
2018-11-28 23:11:58,687;0.039278083;0.03453664
2018-11-28 23:12:14,551;0.04080704;0.03535532
2018-11-28 23:12:30,469;0.039172735;0.034507256
2018-11-28 23:12:46,396;0.041536182;0.03621623
2018-11-28 23:13:02,295;0.036988754;0.03378438
2018-11-28 23:13:18,170;0.041071642;0.034419335
2018-11-28 23:13:35,635;0.04023997;0.033568636
2018-11-28 23:13:51,549;0.039653003;0.033868603
2018-11-28 23:14:07,477;0.043716878;0.03414543
2018-11-28 23:14:23,377;0.04062546;0.033986554
2018-11-28 23:14:39,284;0.03981061;0.03497834
2018-11-28 23:14:55,195;0.038396716;0.03502049
2018-11-28 23:15:11,097;0.040409252;0.033761688
2018-11-28 23:15:26,998;0.040932365;0.03600891
2018-11-28 23:15:42,931;0.039201073;0.033716533
2018-11-28 23:15:58,827;0.038844183;0.034166154
2018-11-28 23:16:16,281;0.038204424;0.032239355
2018-11-28 23:16:32,157;0.037421912;0.032417774
2018-11-28 23:16:48,103;0.037581705;0.032003455
2018-11-28 23:17:03,998;0.03964006;0.03200973
2018-11-28 23:17:19,911;0.037975557;0.0333319
2018-11-28 23:17:35,809;0.0361525;0.03353384
2018-11-28 23:17:51,703;0.03979223;0.03492836
2018-11-28 23:18:07,609;0.03744509;0.03189054
2018-11-28 23:18:23,514;0.037462447;0.032543525
2018-11-28 23:18:39,403;0.036815144;0.030953296
2018-11-28 23:18:56,854;0.036172703;0.031491138
2018-11-28 23:19:12,734;0.037852015;0.03188938
2018-11-28 23:19:28,645;0.041951533;0.037029043
2018-11-28 23:19:44,556;0.038653977;0.031184394
2018-11-28 23:20:00,451;0.03684116;0.031599067
2018-11-28 23:20:16,369;0.03716435;0.03340655
2018-11-28 23:20:32,229;0.036611497;0.032346528
2018-11-28 23:20:48,155;0.038567655;0.031529825
2018-11-28 23:21:04,096;0.039298467;0.032748595
2018-11-28 23:21:20,000;0.03843932;0.03117666
2018-11-28 23:21:37,362;0.034664914;0.03165073
2018-11-28 23:21:53,288;0.040449;0.034084897
2018-11-28 23:22:09,187;0.037067838;0.032239523
2018-11-28 23:22:25,100;0.040546045;0.03364377
2018-11-28 23:22:41,009;0.03549686;0.031807296
2018-11-28 23:22:56,912;0.037125118;0.031645164
2018-11-28 23:23:12,814;0.03510976;0.03216822
2018-11-28 23:23:28,748;0.03688719;0.031768695
2018-11-28 23:23:44,684;0.036909476;0.031223847
2018-11-28 23:24:00,585;0.035625096;0.030356452
2018-11-28 23:24:17,972;0.03599512;0.03111779
2018-11-28 23:24:33,886;0.035128027;0.031509887
2018-11-28 23:24:49,782;0.036203936;0.029482182
2018-11-28 23:25:05,720;0.03366194;0.030604571
2018-11-28 23:25:21,593;0.038109764;0.03030838
2018-11-28 23:25:37,512;0.03765256;0.030574065
2018-11-28 23:25:53,425;0.035103895;0.029378727
2018-11-28 23:26:09,380;0.03688357;0.03032721
2018-11-28 23:26:25,269;0.036231067;0.031139962
2018-11-28 23:26:41,206;0.035320472;0.030990474
2018-11-28 23:26:58,624;0.03498055;0.02985156
2018-11-28 23:27:14,544;0.0357362;0.029365927
